,_latitude,_longitude,number_of_operators,number_of_available_trolleys,serving_customer,maximum_number_of_vehicles_in_the_traffic_jam
0,19.0213764,-98.2603919,1,0,1.0,25.0
1,19.0211113,-98.2605677,1,0,1.0,25.0
2,19.0352214575,-98.2670348883,2,0,1.0,25.0
3,19.0817899522,-98.2985606801,2,0,1.0,25.0
4,19.0817705579,-98.2985890313,1,0,1.0,25.0
5,19.0817256044,-98.298637931,1,0,1.0,25.0
6,19.0817518281,-98.2985935216,2,0,1.0,25.0
7,19.0817752594,-98.2984725221,1,0,1.0,25.0
8,19.0818395481,-98.2985965439,1,0,1.0,25.0
9,19.0817899522,-98.2985606801,1,0,1.0,25.0
10,19.0126948166,-98.2173483074,2,2,1.0,25.0
11,19.0138632214,-98.2191775739,2,2,1.0,25.0
12,19.0111425308,-98.2191078365,2,2,1.0,25.0
13,19.012508112,-98.2183615118,2,2,1.0,25.0
14,19.0129208272,-98.2180674747,2,1,1.0,25.0
15,19.0253918244,-98.2491616532,3,7,1.0,25.0
16,19.0128892,-98.2165692,1,1,1.0,25.0
17,19.0146469,-98.2208008,1,1,1.0,25.0
18,19.0156234,-98.2208476,1,1,1.0,25.0
19,19.0160351,-98.2206938,2,1,1.0,25.0
20,19.0159007,-98.220915,1,0,1.0,25.0
21,19.0159239,-98.220821,2,1,1.0,25.0
22,19.0159116,-98.2208086,1,1,1.0,25.0
23,19.0167658,-98.2203102,1,0,1.0,25.0
24,19.0170596,-98.220136,2,1,1.0,25.0
25,19.0182381,-98.2193493,2,1,1.0,25.0
26,19.0191525,-98.218854,1,1,1.0,25.0
27,19.0345948607,-98.2646732032,1,1,1.0,25.0
28,19.0346376481,-98.2645528391,1,0,1.0,25.0
29,19.0350138599,-98.2660515234,2,0,1.0,25.0
30,19.0135554303,-98.2286454365,2,0,1.0,25.0
31,19.0122120468,-98.2293974608,1,0,1.0,25.0
32,19.0121042713,-98.2295010611,1,0,1.0,25.0
33,19.0109025703,-98.2300888002,3,0,1.0,25.0
34,19.0097430204,-98.2306614518,1,0,1.0,25.0
35,19.0101180206,-98.2305008546,5,1,1.0,25.0
36,19.010103439,-98.2304180413,3,0,1.0,25.0
37,19.0101628,-98.2304726,1,0,1.0,25.0
38,19.0103310381,-98.2303171232,1,0,1.0,25.0
39,19.0097040304,-98.2306021079,3,1,1.0,25.0
40,19.0120664,-98.2295882,1,0,1.0,25.0
41,19.013542434,-98.2288533077,2,0,1.0,25.0
42,19.018115,-98.238885,3,0,1.0,25.0
43,19.017197,-98.217464,1,0,1.0,25.0
44,19.0118701,-98.2296253,1,0,1.0,25.0
45,19.0107653,-98.2300307,2,2,1.0,25.0
46,19.0116565,-98.2282817,1,0,1.0,25.0
47,19.021797,-98.2407889,2,3,1.0,25.0
48,19.0204591979,-98.2155985013,2,2,1.0,25.0
49,19.0347095943,-98.2630829886,1,0,1.0,25.0
50,19.0344747389,-98.2637874037,1,0,1.0,25.0
51,19.0347847099,-98.2657675445,2,0,1.0,25.0
52,19.0351780363,-98.2668649033,1,0,1.0,25.0
53,19.0351564842,-98.2668179646,1,0,1.0,25.0
54,19.0351669433,-98.2669436932,2,0,1.0,25.0
55,19.0122691044,-98.2294755802,3,0,1.0,25.0
56,19.0112842246,-98.2277395204,2,0,1.0,25.0
57,19.0112246,-98.2283525,1,0,1.0,25.0
58,19.0143691262,-98.2266750187,2,0,1.0,25.0
59,19.0133709455,-98.2273951918,2,0,1.0,25.0
60,19.0143802205,-98.2266652957,3,1,1.0,25.0
61,19.0133059637,-98.2272865623,3,1,1.0,25.0
62,19.0113431844,-98.2295728102,1,0,1.0,25.0
63,19.0138540289,-98.2272020727,1,1,1.0,25.0
64,19.0134723805,-98.2272312418,4,0,1.0,25.0
65,19.0109862554,-98.229951337,1,0,1.0,25.0
66,19.0120662329,-98.2295962796,1,0,1.0,25.0
67,19.0114997765,-98.2281636447,2,0,1.0,25.0
68,19.0105491271,-98.2302772254,2,0,1.0,25.0
69,19.0099902733,-98.2304793969,4,0,1.0,25.0
70,19.0041219076,-98.2662428447,1,0,1.0,25.0
71,19.0033314286,-98.267331566,2,1,1.0,25.0
72,18.9993711135,-98.2740535711,2,0,1.0,25.0
73,18.9996500002,-98.2749880729,1,0,1.0,25.0
74,19.0021041472,-98.2712957656,2,0,1.0,25.0
75,19.0220254,-98.2606989,1,1,1.0,25.0
76,19.0192244,-98.262566,2,1,1.0,25.0
77,19.0191569,-98.2625238,3,1,1.0,25.0
78,19.0198062,-98.2612393,2,2,1.0,25.0
79,19.0202646,-98.2610422,2,1,1.0,25.0
80,19.0283362,-98.2592099,2,1,1.0,25.0
81,19.0281359,-98.2589611,2,1,1.0,25.0
82,19.0274674,-98.2587771,1,0,1.0,25.0
83,19.0272351,-98.259044,2,1,1.0,25.0
84,19.0248721,-98.2608944,4,1,1.0,25.0
85,19.0244557,-98.2611876,2,0,1.0,25.0
86,19.0239147,-98.2614525,1,0,1.0,25.0
87,19.0238314,-98.2614753,1,0,1.0,25.0
88,19.0220967,-98.2607205,1,0,1.0,25.0
89,19.0222222,-98.2610785,2,1,1.0,25.0
90,19.0226852,-98.261572,2,1,1.0,25.0
91,19.0534049,-98.2339495,1,0,1.0,25.0
92,19.0535269,-98.2339006,2,0,1.0,25.0
93,19.0523632,-98.220902,2,0,1.0,25.0
94,19.0533108,-98.2205203,2,1,1.0,25.0
95,19.0549013,-98.2203338,3,0,1.0,25.0
96,19.0515491,-98.2205726,1,0,1.0,25.0
97,19.0527507,-98.234267,1,0,1.0,25.0
98,19.0459163426,-98.2295282185,1,0,1.0,25.0
99,19.0457848198,-98.2272607461,1,0,1.0,25.0
100,19.0456596354,-98.2269284874,1,0,1.0,25.0
101,19.0452653831,-98.2254264504,2,0,1.0,25.0
102,19.0451332259,-98.2257308811,1,1,1.0,25.0
103,19.0450188164,-98.2255736366,1,0,1.0,25.0
104,19.0448191542,-98.2250211015,2,1,1.0,20.0
105,19.0445684669,-98.2247220352,2,2,1.0,15.0
106,19.0408173025,-98.2233765721,3,0,1.0,15.0
107,19.0410153849,-98.2237172127,2,0,1.0,15.0
108,19.0413243929,-98.2244373858,1,0,1.0,5.0
109,19.0416283295,-98.2250670344,2,0,1.0,5.0
110,19.0420412893,-98.225950487,1,0,1.0,5.0
111,19.0429118927,-98.2277365029,1,1,1.0,5.0
112,19.041807712,-98.2274310663,2,0,1.0,5.0
113,19.0417417905,-98.2272677869,1,0,1.0,5.0
114,19.0408920985,-98.2258056477,1,0,1.0,5.0
115,19.0412074453,-98.2257412747,2,1,1.0,5.0
116,19.0423183191,-98.1963503167,3,2,1.0,5.0
117,19.0487261062,-98.1993785199,1,0,1.0,5.0
118,19.0473490037,-98.1964384994,3,2,1.0,5.0
119,19.0480351673,-98.1963600948,2,0,1.0,5.0
120,19.0481925477,-98.1963129156,2,1,1.0,5.0
121,19.0485133831,-98.1970228025,2,1,1.0,5.0
122,19.04869169,-98.1972448156,1,0,1.0,5.0
123,19.049461945,-98.1989864913,1,0,1.0,5.0
124,19.0496978956,-98.2009965555,3,0,1.0,5.0
125,19.0493503362,-98.2003566075,1,0,1.0,5.0
126,19.0487777287,-98.1993302403,2,0,1.0,5.0
127,19.0485562837,-98.1990660354,2,0,1.0,5.0
128,19.0485926937,-98.1981829238,1,1,1.0,5.0
129,19.0486103052,-98.2001090737,1,0,1.0,5.0
130,19.0463827271,-98.1936070696,2,0,1.0,5.0
131,19.0449532354,-98.1943559089,2,0,1.0,5.0
132,19.0498619774,-98.1956955045,1,0,1.0,5.0
133,19.0464522572,-98.1946175918,3,0,1.0,8.0
134,19.0461999877,-98.1942880154,1,2,1.0,8.0
135,19.0454041955,-98.1984943897,2,0,1.0,8.0
136,19.0447310492,-98.2011457533,1,1,1.0,8.0
137,19.0459711701,-98.2036288083,2,0,1.0,8.0
138,19.0430761971,-98.2014234753,1,0,1.0,8.0
139,19.0441553907,-98.2008047035,2,1,1.0,8.0
140,19.0441607415,-98.2001068359,2,1,1.0,8.0
141,19.0040191636,-98.2662270405,2,0,1.0,8.0
142,19.0040275612,-98.2662111042,1,0,1.0,8.0
143,18.9992453763,-98.2747797669,1,0,1.0,8.0
144,18.9995101317,-98.2745818966,1,1,1.0,8.0
145,18.9996357615,-98.2748416839,1,0,1.0,8.0
146,19.0486551619,-98.2010471821,1,0,1.0,8.0
147,19.048947435,-98.1995449039,1,0,1.0,8.0
148,19.0476399707,-98.200733699,2,2,1.0,8.0
149,19.0457916772,-98.2036237792,1,0,1.0,8.0
150,19.0459865146,-98.2033609227,1,0,1.0,8.0
151,19.0463860799,-98.2026356366,1,1,1.0,8.0
152,19.0491904338,-98.2020486519,2,2,1.0,8.0
153,19.0642236,-98.3096287,2,2,1.0,8.0
154,19.0609536,-98.2297245,2,1,1.0,8.0
155,19.0450400503,-98.2021663338,1,2,1.0,8.0
156,19.0611708254,-98.2295349626,1,0,1.0,8.0
157,19.0595062004,-98.2310728776,1,2,1.0,8.0
158,19.0613224,-98.2294891,1,1,1.0,8.0
159,19.0616278,-98.2309202,1,1,1.0,8.0
160,19.0592845,-98.2301643,1,1,1.0,8.0
161,19.058739,-98.2293531,1,1,1.0,8.0
162,19.0596459,-98.2281692,1,1,1.0,8.0
163,19.0586772,-98.2262099,1,1,1.0,8.0
164,19.0593673,-98.225884,1,0,1.0,8.0
165,19.0517571,-98.2317668,2,2,1.0,8.0
166,19.0607169,-98.2290099,1,1,1.0,8.0
167,19.061546,-98.2350645,1,2,1.0,8.0
168,19.0455599176,-98.2039474045,1,0,1.0,8.0
169,19.0458583458,-98.2033022493,2,2,1.0,8.0
170,19.0453674324,-98.2021582872,2,2,1.0,8.0
171,19.0551286,-98.2240469,1,0,1.0,8.0
172,19.0537905,-98.2248258,1,0,1.0,8.0
173,19.0435952,-98.228491,1,0,1.0,8.0
174,19.0435574,-98.2285093,1,0,1.0,8.0
175,19.0422433,-98.2306771,1,0,1.0,8.0
176,19.0435907002,-98.2285106837,1,0,1.0,8.0
177,19.0460863,-98.2256545,2,1,1.0,8.0
178,19.0429727968,-98.2205807414,1,0,1.0,8.0
179,19.0454045,-98.2243523,2,0,1.0,8.0
180,19.0451654,-98.2257501,1,0,1.0,8.0
181,19.0459750184,-98.2270032791,2,1,1.0,8.0
182,19.0459459071,-98.2270237811,1,0,1.0,8.0
183,19.0459647728,-98.2270719812,1,0,1.0,8.0
184,19.0459660627,-98.2268874162,2,0,1.0,8.0
185,19.0459934942,-98.2268531483,1,0,1.0,8.0
186,19.046261441,-98.2268978097,2,0,1.0,8.0
187,19.0459663142,-98.2269603387,1,1,1.0,8.0
188,19.0645911964,-98.3093802632,2,0,1.0,8.0
189,19.0318539077,-98.2501215488,1,0,1.0,8.0
190,19.0312655,-98.2500405,1,0,1.0,8.0
191,19.0317836,-98.2499744,3,0,1.0,8.0
192,19.0312233,-98.250065,1,0,1.0,8.0
193,19.0254858473,-98.2499456507,2,1,1.0,8.0
194,19.0310044761,-98.2499142411,2,1,1.0,8.0
195,19.0255734654,-98.2491061341,1,0,1.0,8.0
196,19.0265000028,-98.2500808561,1,0,1.0,8.0
197,19.0298452369,-98.249928817,2,1,1.0,8.0
198,19.0235413934,-98.249948211,1,2,1.0,8.0
199,19.0247318198,-98.2498607515,1,0,1.0,8.0
200,19.0305848388,-98.2460767776,1,0,1.0,8.0
201,19.0435197173,-98.2012164598,1,0,1.0,8.0
202,19.0422319997,-98.2018907669,1,1,1.0,8.0
203,19.0417790728,-98.2001949894,1,0,1.0,8.0
204,19.0452351569,-98.2003267275,2,1,1.0,8.0
205,19.0454318494,-98.1984406914,1,0,1.0,8.0
206,19.0431186735,-98.1954367084,2,1,1.0,8.0
207,19.0435677487,-98.1949176021,1,0,1.0,8.0
208,19.0627278,-98.2287272,1,1,1.0,8.0
209,19.0568933787,-98.2334894708,1,1,1.0,8.0
210,19.0568494313,-98.233483903,2,1,1.0,8.0
211,19.0596775,-98.2339161,1,0,1.0,8.0
212,19.0626948,-98.2285674,1,2,1.0,8.0
213,19.0627239,-98.231397,2,2,1.0,8.0
214,19.0593853,-98.232277,2,3,1.0,8.0
215,19.0610519,-98.2314082,1,1,1.0,8.0
216,19.057338,-98.2243023,3,2,1.0,8.0
217,19.057425,-98.2241354,2,2,1.0,8.0
218,19.0531093,-98.2297262,3,2,1.0,8.0
219,19.0620703,-98.2274024,1,1,1.0,8.0
220,19.0517539,-98.2326791,2,0,1.0,8.0
221,19.0529867,-98.2339776,1,0,1.0,8.0
222,19.0611275,-98.2255224,1,1,1.0,8.0
223,19.0553701,-98.2301393,4,1,1.0,8.0
224,19.0590599,-98.2282945,1,1,1.0,8.0
225,19.0532046,-98.2271538,1,0,1.0,8.0
226,19.0201596556,-98.2170412377,2,1,1.0,8.0
227,19.045889033,-98.2034983859,2,1,1.0,8.0
228,19.0453107361,-98.1986525472,2,2,1.0,8.0
229,19.018541,-98.21787,4,1,1.0,8.0
230,19.0459898685,-98.2037109509,1,1,1.0,8.0
231,19.0459610286,-98.2036475837,1,0,1.0,8.0
232,19.045529019,-98.1941044021,1,1,1.0,2.0
233,19.04621108,-98.1937378272,1,0,1.0,2.0
234,19.0651500243,-98.3130123128,3,2,1.0,2.0
235,19.0640094081,-98.3115490359,1,0,1.0,2.0
236,19.0642812755,-98.3115105239,3,2,1.0,2.0
237,19.0598333,-98.30646,1,1,1.0,2.0
238,19.0656,-98.31059,2,1,1.0,2.0
239,19.0640329,-98.309745,2,2,1.0,2.0
240,19.0639638,-98.3097392,2,2,1.0,2.0
241,19.0612967,-98.3110767,1,1,1.0,2.0
242,19.0638883,-98.3092333,2,0,1.0,2.0
243,19.063999,-98.3093346,2,1,1.0,2.0
244,19.0656979,-98.3107461,3,1,1.0,2.0
245,19.0618411,-98.3067634,2,2,1.0,2.0
246,19.0183170953,-98.2155760378,1,0,1.0,2.0
247,19.0182728319,-98.2155917826,1,0,1.0,2.0
248,19.0155333985,-98.2156169415,2,2,1.0,2.0
249,19.018353,-98.215618,1,1,1.0,2.0
250,19.0473467298,-98.2042665035,1,1,1.0,2.0
251,19.04881606,-98.2000555478,4,0,1.0,2.0
252,19.0226732567,-98.2491253597,3,1,1.0,2.0
253,19.0285984919,-98.249059394,2,0,1.0,2.0
254,19.0319133618,-98.2501925963,2,1,1.0,2.0
255,19.0260824818,-98.2492907345,2,2,1.0,2.0
256,19.0319597687,-98.2486956194,2,0,1.0,2.0
257,19.0356715777,-98.2625677774,1,0,1.0,2.0
258,19.0357673722,-98.2624759132,2,0,1.0,2.0
259,19.0350535564,-98.2628961378,2,0,1.0,2.0
260,19.0340166363,-98.2628400234,3,1,1.0,2.0
261,19.034514549,-98.2635409444,1,0,1.0,2.0
262,19.0345860549,-98.2639964957,2,0,1.0,2.0
263,19.0345795332,-98.2641675045,1,0,1.0,2.0
264,19.0351433435,-98.2665773949,1,0,1.0,2.0
265,19.0354752905,-98.2677415465,1,0,1.0,2.0
266,19.0352303319,-98.2673591003,1,0,1.0,2.0
267,19.0352613585,-98.2667092728,2,0,1.0,2.0
268,19.0356709219,-98.2625598689,2,1,1.0,2.0
269,19.0356522985,-98.2623923198,1,2,1.0,2.0
270,19.0343777044,-98.2631015965,2,2,1.0,2.0
271,19.0343920374,-98.2630814799,1,2,1.0,2.0
272,19.0343689453,-98.2633591724,1,1,1.0,2.0
273,19.0346141998,-98.2651511394,1,1,1.0,2.0
274,19.0347939344,-98.2655785544,1,1,1.0,2.0
275,19.035474225,-98.2678260562,1,3,1.0,2.0
276,19.0353028989,-98.2667690982,2,2,1.0,2.0
277,19.0405816752,-98.1953289013,1,0,1.0,2.0
278,19.0430459701,-98.1938831401,1,0,1.0,2.0
279,18.9992696699,-98.2743124083,2,0,1.0,2.0
280,18.9994229889,-98.2740617731,1,0,1.0,2.0
281,19.0061102975,-98.2656696569,2,1,1.0,2.0
282,19.0059181653,-98.2656102226,2,1,1.0,2.0
283,19.0060885297,-98.2656470128,2,1,1.0,2.0
284,19.0041055733,-98.2664863187,2,1,1.0,2.0
285,19.0040782142,-98.2665055835,1,0,1.0,2.0
286,18.9995542997,-98.2748194505,2,0,1.0,2.0
287,19.0045138808,-98.2662116407,1,1,1.0,2.0
288,19.0045315432,-98.266176348,1,1,1.0,2.0
289,19.0044549387,-98.2661956084,2,1,1.0,2.0
290,18.9995738631,-98.2748213411,1,0,1.0,2.0
291,19.0018587687,-98.2719573354,1,0,1.0,2.0
292,19.001804982,-98.2719351122,1,1,1.0,2.0
293,19.0017792847,-98.2718366883,2,0,1.0,2.0
294,19.0054323353,-98.2671270711,1,0,1.0,2.0
295,19.005672101,-98.2675894663,2,0,1.0,2.0
296,19.0056275995,-98.2676078903,2,1,1.0,2.0
297,19.0056427428,-98.2676258041,4,1,1.0,2.0
298,19.005722126,-98.267560852,2,0,1.0,2.0
299,19.0030170232,-98.2673140057,1,1,1.0,2.0
300,19.0041137953,-98.2668296994,2,0,1.0,2.0
301,19.0252949509,-98.2490172869,3,1,1.0,2.0
302,19.0269015047,-98.2494395971,1,1,1.0,2.0
303,19.0264634674,-98.2498399168,1,0,1.0,2.0
304,19.0264441666,-98.2499674405,1,0,1.0,2.0
305,19.0255766128,-98.2490748167,4,0,1.0,2.0
306,19.0039857829,-98.2665612374,2,1,1.0,2.0
307,19.0041961042,-98.2662437212,3,1,1.0,2.0
308,19.0041629876,-98.2662340221,1,1,1.0,2.0
309,19.0041721213,-98.2662793322,2,1,1.0,2.0
310,19.0046903643,-98.2664003171,1,1,1.0,2.0
311,19.0039821755,-98.2667735124,1,1,1.0,2.0
312,19.0044321818,-98.2665526775,2,1,1.0,2.0
313,19.004184923,-98.2662978391,1,1,1.0,2.0
314,19.0037832421,-98.2669509996,2,1,1.0,2.0
315,19.0221294,-98.260704,4,1,1.0,2.0
316,19.0222526,-98.2608584,1,0,1.0,2.0
317,19.0221078,-98.259917,2,1,1.0,2.0
318,19.0223355,-98.2613098,4,1,1.0,2.0
319,19.0224584,-98.2614833,2,1,1.0,2.0
320,19.0226014,-98.2615151,1,0,1.0,2.0
321,19.0225792,-98.2615813,1,0,1.0,2.0
322,19.0196414,-98.2625225,1,0,1.0,2.0
323,19.0190991,-98.262539,4,1,1.0,2.0
324,19.0199367,-98.2611618,2,1,1.0,2.0
325,19.0203189,-98.2610105,1,1,1.0,2.0
326,19.0271875,-98.255475,2,1,1.0,2.0
327,19.0283016,-98.2551571,2,1,1.0,2.0
328,19.0295166,-98.2564437,2,1,1.0,2.0
329,19.027931,-98.258336,1,1,1.0,2.0
330,19.0240386,-98.2614064,1,0,1.0,2.0
331,19.0239537,-98.2614156,1,0,1.0,2.0
332,19.0246879,-98.2610514,2,1,1.0,2.0
333,19.0223633,-98.2608733,2,1,1.0,2.0
334,19.022034,-98.2605816,2,0,1.0,2.0
335,19.022007,-98.2605728,5,2,1.0,2.0
336,19.0220533,-98.2604477,3,2,1.0,2.0
337,19.059749,-98.2280428,2,0,1.0,2.0
338,19.0626148,-98.2346855,1,2,1.0,2.0
339,19.0565655,-98.2320416,2,0,1.0,2.0
340,19.0578975,-98.2294284,2,0,1.0,2.0
341,19.0703939264,-98.1646579877,2,0,1.0,2.0
342,19.0732125097,-98.168082498,2,2,1.0,2.0
343,19.0741106,-98.1736208,2,0,1.0,2.0
344,19.0744375,-98.1732126,1,0,1.0,2.0
345,19.0716791683,-98.1669184193,1,0,1.0,2.0
346,19.0270377923,-98.2493552651,1,0,1.0,2.0
347,19.0719245551,-98.1667601887,1,0,1.0,2.0
348,19.0747741,-98.1674194,2,0,1.0,2.0
349,19.0726389,-98.1694718,1,0,1.0,2.0
350,19.0746375,-98.1734403,1,0,1.0,2.0
351,19.0722369,-98.1673744,2,1,1.0,2.0
352,19.0720063,-98.1666132,1,0,1.0,2.0
353,19.0251449542,-98.2490182389,2,2,1.0,2.0
354,19.0721117517,-98.1653164377,1,0,1.0,2.0
355,19.0730388751,-98.1657873523,1,0,1.0,2.0
356,19.0747634793,-98.1674315757,1,0,1.0,2.0
357,19.0728531297,-98.1695359843,1,0,1.0,2.0
358,19.0724586602,-98.1701053028,1,0,1.0,2.0
359,19.0307618352,-98.2500988339,2,2,1.0,2.0
360,19.0307312402,-98.2498263765,1,0,1.0,2.0
361,19.014630192,-98.2210329083,1,1,1.0,2.0
362,19.0747364535,-98.1744661668,2,0,1.0,2.0
363,19.0251680226,-98.2490972742,1,0,1.0,2.0
364,19.0744410853,-98.1735500735,2,0,1.0,2.0
365,19.0744117775,-98.172453718,5,0,1.0,2.0
366,19.0761653055,-98.1708208659,1,0,1.0,2.0
367,19.0721686464,-98.1672783383,1,0,1.0,2.0
368,19.0719752759,-98.1669909229,1,0,1.0,2.0
369,19.0720751882,-98.1665766892,1,0,1.0,2.0
370,19.071961034,-98.166975953,2,1,1.0,2.0
371,19.071999466,-98.1667017056,1,0,1.0,2.0
372,19.0706946049,-98.1677300391,1,0,1.0,2.0
373,19.0754693,-98.1676052,2,0,1.0,2.0
374,19.0724087,-98.1656903,1,0,1.0,2.0
375,19.0701709,-98.1667233,2,1,1.0,2.0
376,19.0718907,-98.166637,1,0,1.0,2.0
377,19.0733588603,-98.1643093243,1,0,1.0,2.0
378,19.0726300372,-98.1659305166,1,0,1.0,2.0
379,19.073614697,-98.1653153945,1,1,1.0,2.0
380,19.0736508138,-98.1652930197,2,1,1.0,2.0
381,19.071857551,-98.1667056879,1,0,1.0,2.0
382,19.0581423267,-98.2254263603,2,1,1.0,2.0
383,19.0435135414,-98.2005907028,1,0,1.0,2.0
384,19.0441463323,-98.1959056349,2,1,1.0,2.0
385,19.043612116,-98.194933077,1,0,1.0,2.0
386,19.0436070826,-98.1948560508,1,0,1.0,2.0
387,19.043335537,-98.1945033093,1,1,1.0,2.0
388,19.0435760418,-98.1948728731,2,0,1.0,2.0
389,19.043589516,-98.1949010531,2,1,1.0,2.0
